,Landfill Name,State,County
832,Caldwell LF,IN,Shelby
834,Center Point LF,IN,Clay
835,Clark-Floyd LF,IN,Clark
836,Clinton County Landfill,IN,Clinton
839,County Line LF,IN,Fulton
841,Daviess County LF,IN,Daviess
843,Decatur Hills LF,IN,Decatur
844,Deercroft RDF,IN,LaPorte
846,Earthmovers LF,IN,Elkhart
848,Elkhart County Landfill,IN,Elkhart
852,Gary Sanitary LF,IN,Lake
858,Hayes Landfill,IN,Henry
859,Huntington City LF,IN,Huntington
862,Jay County LF,IN,Jay
863,Jennings County LF,IN,Jennings
864,LaGrange County LF,IN,LaGrange
865,Laubscher Meadows LF,IN,Vanderburgh
867,Liberty Landfill,IN,White
870,Medora SLF,IN,Jackson
871,Monroe County LF,IN,Monroe
872,Munster LF,IN,Lake
873,National Serv-All LF,IN,Allen
875,New Paris Pike LF,IN,Wayne
877,Newton County Landfill,IN,Newton
882,Oak Ridge RDF,IN,Cass
885,Prairie View RDF,IN,St. Joseph
886,Randolph Farms LF,IN,Randolph
890,South Side Landfill Inc.,IN,Marion
893,Spencer County,IN,Spencer
895,Sullivan County LF,IN,Sullivan
896,Sycamore Ridge Landfill & Victory Landfill,IN,Vigo
899,Tipton County LF,IN,Tipton
900,Twin Bridges RDF,IN,Hendricks
901,Uniontown Landfill,IN,Jackson
902,United Refuse LF,IN,Allen
904,Wabash Valley LF,IN,Wabash
907,Washington County LF,IN,Washington
908,West Clinton LF,IN,Vermillion
909,Wheeler RDF,IN,LaPorte
911,Worthington LF,IN,Greene
912,Allen County LF,KS,Allen
914,Barton County SLF,KS,Barton
915,Brooks Landfill,KS,Sedgwick
916,Butler County Landfill,KS,Butler
924,Coffey County LF,KS,Coffey
928,Finney County Landfill / Western Plains Regional LF,KS,Finney
929,Ford County Closed LF,KS,Ford
930,Ford County Open LF,KS,Ford
931,"Forest View Landfill, LLC",KS,Wyandotte
935,Hamm SLF,KS,Jefferson
936,Harvey County LF,KS,Harvey
939,Johnson County LF,KS,Johnson
941,Kiowa County Landfill,KS,Kiowa
942,Kiowa County LF,KS,Kiowa
944,Marion County LF,KS,Marion
945,McPherson County Landfill,KS,McPherson
946,Mitchell County LF,KS,Mitchell
949,Oak Grove Landfill,KS,Crawford
951,Phillips County LF,KS,Phillips
952,Plumb Thicket Landfill,KS,Harper
953,Pratt County LF,KS,Pratt
956,Reno County MSWLF,KS,Reno
957,Resource Recovery LF,KS,Montgomery
958,Rolling Meadows LF,KS,Shawnee
959,Rooks County LF,KS,Rooks
961,Russell County LF,KS,Russell
962,Salina MSWLF,KS,Saline
963,Seward County Landfill,KS,Seward
969,Trego County LF,KS,Trego
971,Wheatland LF,KS,Cherokee
972,Wichita County LF,KS,Wichita
973,Advanced Disposal Morehead Landfill Inc.,KY,Rowan
974,Bavarian Trucking Company LF,KY,Boone
975,Benson Valley LF,KY,Franklin
976,Big Run Landfill,KY,Boyd
977,Blue Ridge RDF,KY,Estill
978,Central Kentucky Landfill,KY,Scott
979,City of Bowling Green LF,KY,Butler
980,City of Hopkinsville LF,KY,Christian
981,City of Owensboro LF,KY,Daviess
983,"Cooksey Brothers Disposal Company, Inc. LF",KY,Boyd
984,Dozit Company Inc. Landfill,KY,Union
985,Epperson Waste Disposal,KY,Grant
987,Glasgow Regional Landfill,KY,Barren
988,Green Valley Landfill,KY,Greenup
989,Haley Pike Landfill,KY,Fayette
990,Hardin County Landfill,KY,Hardin
991,Hopkins County Regional Landfill,KY,Hopkins
992,Laurel Ridge Landfill Inc.,KY,Laurel
994,Maysville-Mason County LF,KY,Mason
996,Nelson County SWDF,KY,Nelson
997,Ohio County Balefill Landfill,KY,Ohio
998,Outer Loop RDF,KY,Jefferson
1000,Pike County Landfill,KY,Pike
1001,Pulaski Grading LF,KY,Pulaski
1002,Rumpke/Montgomery County LF,KY,Montgomery
1003,Rumpke/Pendleton County LF,KY,Pendleton
1004,Southern Sanitation LF,KY,Logan
1006,"Tri-K Landfill, Inc.",KY,Lincoln
1007,Valley View LF,KY,Trimble
1008,Waste Path Sanitary Landfill LLC,KY,Marshall
1009,West Daviess County Landfill,KY,Daviess
1010,West Kentucky Landfill,KY,Graves
1011,Williams LF,KY,Spencer
1012,Acadia Parish SLF,LA,Acadia
1013,Area 90 LF,LA,Jefferson
1014,Choctaw Road Landfill,LA,Washington
1015,Colonial LF,LA,Ascension
1016,Crescent Acres LF,LA,Orleans
1017,East Baton Rouge Parish LF,LA,East Baton Rouge
1018,EBR Parish North Landfill,LA,East Baton Rouge
1019,Greater New Orleans LF,LA,Jefferson
1020,"Harold J. ""Babe"" Landry LF",LA,St. Mary
1021,IESI Timberlane Landfill,LA,Allen
1022,Jefferson Davis Parish Landfill,LA,Jefferson Davis
1023,Jefferson Parish SLF,LA,Jefferson
1024,La Salle/Grant Parish SLF,LA,La Salle
1027,Magnolia Landfill,LA,Ouachita
1028,Mundy Landfill,LA,De Soto
1029,N. Dugas LF,LA,Lafayette
1030,Recovery I LF,LA,Orleans
1031,"Reliable Landfill, LLC",LA,Pointe Coupee
1032,River Birch Landfill,LA,Jefferson
1033,Sabine Parish SLF,LA,Sabine
1035,St. Landry Parish LF,LA,St. Landry
1037,Tangipahoa Parish Regional Solid Waste Facility,LA,Tangipahoa
1038,Tensas Parish LF,LA,Tensas
1039,Terrebonne Parish LF,LA,Terrebonne
1040,Union Parish SLF,LA,Union
1041,Venice Landfill,LA,Plaquemines
1042,Vermilion Parish Landfill,LA,Vermilion
1043,Webster Parish LF,LA,Webster
1044,West Carroll SLF,LA,West Carroll
1045,White Oaks Landfill,LA,Ouachita
1046,Woodland Hills LF,LA,Calcasieu
1047,Woodside SLF & Recycling Center,LA,Livingston
1048,Woolworth Road Landfill,LA,Caddo
1049,Acushnet LF,MA,Bristol
1050,Amherst LF,MA,Hampshire
1051,"Attleboro Landfill, Incorporated",MA,Bristol
1052,Barnstable LF,MA,Barnstable
1053,Bondi Island Landfill,MA,Hampden
1054,Bourne LF,MA,Barnstable
1056,Carver-Marion-Wareham Landfill,MA,Plymouth
1058,Chicopee Landfill (Republic),MA,Hampden
1059,Chicopee Landfill (WMI),MA,Hampden
1060,Crapo Hill LF,MA,Bristol
1061,Dartmouth LF,MA,Plymouth
1062,East Bridgewater LF,MA,Plymouth
1063,Fall River Landfill,MA,Bristol
1064,Fitchburg-Westminster LF,MA,Worcester
1065,Gardner Street Landfill,MA,Suffolk
1067,Granby SLF,MA,Hampshire
1068,Greenwood Street LF,MA,Worcester
1069,Halifax LF,MA,Plymouth
1070,Hardwick Landfill,MA,Hampshire
1071,Haverhill Landfill,MA,Essex
1072,Hull Landfill,MA,Plymouth
1073,Leicester LF,MA,Worcester
1074,Lowell LF,MA,Middlesex
1075,Marion LF,MA,Plymouth
1076,Marshfield LF,MA,Plymouth
1077,Martone Landfill,MA,Worcester
1078,Middleborough Landfill,MA,Plymouth
1079,Nantucket LF,MA,Nantucket
1080,New Bedford LF,MA,Bristol
1081,Northampton Landfill,MA,Hampshire
1082,Otis Air Force Base LF,MA,Barnstable
1083,Palmer LF,MA,Hampden
1084,Plainville LF,MA,Norfolk
1085,Quarry Hills Soils LF,MA,Norfolk
1086,Randolph LF,MA,Norfolk
1087,RCI Hudson/Stow LF,MA,Middlesex
1089,South Hadley Landfill LLC,MA,Hampshire
1091,Southbridge Recycling & Disposal Park,MA,Worcester
1092,Sturbridge Landfill,MA,Worcester
1093,Taunton SLF,MA,Bristol
1094,Wayland LF,MA,Middlesex
1095,West Street Landfill,MA,Worcester
1098,Alpha Ridge SLF,MD,Howard
1102,Beulah Municipal Landfill,MD,Dorchester
1104,Brown Station Road Sanitary Landfill,MD,Prince George's
1105,Cecil County Central Landfill,MD,Cecil
1106,Central SLF,MD,Worcester
1108,Charles County Landfill #2,MD,Charles
1109,Eastern Sanitary Landfill Solid Waste Management Facility (ESL),MD,Baltimore
1112,Forty West SLF,MD,Washington
1113,Garrett County SWD and RF,MD,Garrett
1114,Glen Burnie Landfill,MD,Anne Arundel
1115,Gude LF,MD,Montgomery
1117,Harford Waste Disposal Center,MD,Harford
1120,Hoods Mill Road SLF,MD,Carroll
1121,Midshore I - Regional Solid Waste Facility,MD,Talbot
1122,Midshore II - Regional Solid Waste Facility,MD,Caroline
1123,Millersville SLF,MD,Anne Arundel
1124,Mountainview SLF,MD,Allegany
1125,New Cut Landfill,MD,Howard
1126,Newland Park SLF,MD,Wicomico
1128,Norris Farms Landfill,MD,Baltimore
1129,Northern SLF,MD,Carroll
1130,Oaks SLF,MD,Montgomery
1132,Pennington Avenue LF,MD,Baltimore city
1133,Pisgah SLF,MD,Charles
1135,Quarantine Road SLF,MD,Baltimore city
1136,Reich's Ford Road SLF,MD,Frederick
1137,Resh Road II SLF,MD,Washington
1139,Saint Andrews SLF,MD,St. Mary's
1140,Sandy Hill SLF,MD,Prince George's
1142,Solley Road Landfill,MD,Anne Arundel
1143,Sudley Road SLF,MD,Anne Arundel
1144,Westover/Ring SLF,MD,Somerset
1146,Bath LF,ME,Sagadahoc
1147,Brunswick LF,ME,Cumberland
1148,"Caratunks Forks, West Forks (CFWF) Landfill",ME,Somerset
1150,Crossroads LF,ME,Somerset
1151,Dolby Landfill,ME,Penobscot
1152,ecomaine Landfill/Ashfill,ME,Cumberland
1153,Hatch Hill LF,ME,Kennebec
1154,Juniper Ridge Landfill,ME,Penobscot
1155,Little Squaw LF,ME,Piscataquis
1156,Pine Tree Landfill,ME,Penobscot
1157,Presque Isle LF,ME,Aroostook
1158,Regional Waste Systems LF,ME,Cumberland
1161,Town of Dover-Foxcroft Landfill,ME,Piscataquis
1163,Tri-Community LF,ME,Aroostook
1165,Adrian Landfill,MI,Lenawee
1166,Advanced Disposal Arbor Hills Landfill Inc.,MI,Washtenaw
1167,Ann Arbor SLF Phase I & II,MI,Washtenaw
1168,Autumn Hills Recycling & Disposal Facility,MI,Ottawa
1169,Brent Run Landfill,MI,Genesee
1170,C&C Landfill,MI,Calhoun
1171,Carleton Farms Landfill,MI,Wayne
1172,Cedar Ridge Recycling & Disposal Facility,MI,Charlevoix
1173,"Central Sanitary Landfill, Inc.",MI,Montcalm
1174,Cereal City Landfill,MI,Calhoun
1175,Citizens Disposal Landfill,MI,Genesee
1176,City of Midland Sanitary LF,MI,Midland
1177,"City Sand & Landfill, Inc.",MI,Wayne
1178,Dafter Sanitary Landfill Inc,MI,Chippewa
1179,Delta County Landfill,MI,Delta
1180,Eagle Valley RDF,MI,Oakland
1181,Elk Run Sanitary Landfill,MI,Presque Isle
1182,Forest Lawn Landfill,MI,Berrien
1183,Glen's Sanitary Landfill Inc.,MI,Leelanau
1184,Granger Grand River LF,MI,Clinton
1185,Granger Wood Street Landfill,MI,Clinton
1186,Hastings Sanitary Landfill,MI,Barry
1188,Huron Landfill,MI,Huron
1189,K&W LF,MI,Ontonagon
1190,Kent County - South Kent LF,MI,Kent
1191,Livingston County Landfill,MI,Livingston
1192,Lyon Development LF,MI,Oakland
1193,Manistee County LF,MI,Manistee
1194,Marquette County SWL,MI,Marquette
1195,McGill Road Landfill,MI,Jackson
1196,Menominee Landfill,MI,Menominee
1197,Montmorency-Oscoda-Alpena Landfill,MI,Montmorency
1198,Muskegon County SWF,MI,Muskegon
1199,Northern Oaks Recycling & Disposal Facility,MI,Clare
1200,Oakland Heights Development Landfill,MI,Oakland
1201,Orchard Hill SLF,MI,Berrien
1202,Ottawa County Farms Landfill,MI,Ottawa
1203,"People's Landfill, Inc.",MI,Saginaw
1204,Pine Tree Acres LF Inc.,MI,Macomb
1206,Richfield Landfill,MI,Genesee
1207,Riverview Land Preserve,MI,Wayne
1208,Saginaw Valley Landfill,MI,Saginaw
1209,Sauk Trail Hills Landfill,MI,Wayne
1210,Seymour Road Landfill,MI,Genesee
1211,Smiths Creek Landfill,MI,St. Clair
1212,Southeast Berrien County Landfill,MI,Berrien
1214,Tri-City RDF,MI,Sanilac
1215,Venice Park Recycling & Disposal Facility,MI,Shiawassee
1216,Vienna Junction Landfill,MI,Monroe
1217,Waters Landfill,MI,Crawford
1218,Wayne Disposal LF,MI,Wayne
1219,Westside Recycling and Disposal Facility,MI,St. Joseph
1220,Wexford County Landfill,MI,Wexford
1221,White Lake Landfill,MI,Muskegon
1222,Whitefeather Landfill,MI,Bay
1223,Wood Island Waste Management Inc.,MI,Alger
1224,Woodland Meadows Landfill,MI,Wayne
1225,Advanced Disposal Rolling Hills Landfill Inc.,MN,Wright
1226,Albert Lea Landfill,MN,Freeborn
1227,Anoka-Ramsey Sanitary LF,MN,Anoka
1229,Blue Earth County/Ponderosa Sanitary Landfill,MN,Blue Earth
1231,Burnsville SLF,MN,Dakota
1232,Clay County SLF,MN,Clay
1234,Crow Wing County SLF,MN,Crow Wing
1235,East Central SLF (ECSWC),MN,Kanabec
1236,Elk River SLF Inc.,MN,Sherburne
1237,Flying Cloud SLF,MN,Hennepin
1240,Kandiyohi County SLF,MN,Kandiyohi
1242,Louisville Landfill,MN,Scott
1243,Lyon County SLF,MN,Lyon
1244,Mar-Kit Sanitary Landfill,MN,Kittson
1245,Morrison County Landfill,MN,Morrison
1246,Nobles County Landfill Inc.,MN,Nobles
1247,Olmsted County/Kalmar LF,MN,Olmsted
1248,Pine Bend Landfill,MN,Dakota
1250,Rice County SLF,MN,Rice
1251,Roseau County LF,MN,Roseau
1252,Spruce Ridge Landfill,MN,McLeod
1255,Steele County SLF,MN,Steele
1256,Washington County Landfill,MN,Washington
1257,Waste Disposal Engineering (WDE) SLF,MN,Anoka
1258,WLSSD SLF,MN,St. Louis
1259,Woodlake SLF,MN,Hennepin
1262,Advanced Disposal Maple Hill Landfill Inc.,MO,Macon
1263,Advanced Disposal Oak Ridge Landfill,MO,St. Louis
1266,Backridge Landfill,MO,Lewis
1268,Black Oak Landfill,MO,Wright
1270,Bridgeton Landfill,MO,St. Louis
1272,Butler County Landfill,MO,Butler
1274,Central Missouri SLF,MO,Pettis
1277,Champ Landfill,MO,St. Louis
1278,City of Maryville Sanitary Landfill,MO,Nodaway
1281,Columbia SLF,MO,Boone
1282,"Courtney Ridge Landfill, LLC",MO,Jackson
1286,Eagle Ridge Sanitary Landfill,MO,Pike
1288,Ellis-Scott Landfill,MO,Henry
1293,Fulton SLF,MO,Callaway
1302,IESI Timber Ridge Landfill,MO,Washington
1303,Jackson County Landfill,MO,Cape Girardeau
1304,Jefferson City Sanitary Landfill,MO,Cole
1305,Johnson County Landfill,MO,Johnson
1311,Lamar Landfill,MO,Barton
1312,Lee's Summit SLF,MO,Jackson
1313,Lemons East Sanitary Landfill / Lemons West Landfill,MO,Stoddard
1316,Midwest Landfill,MO,Franklin
1319,Missouri Pass Landfill,MO,St. Louis
1320,Moberly Municipal SLF,MO,Randolph
1328,Newton McDonald County Landfill Inc.,MO,Newton
1334,Plattco/Riverview,MO,Platte
1335,Prairie Valley Landfill,MO,Crawford
1336,Prairie View Regional Waste Facility,MO,Barton
1337,Redbird Landfill,MO,Jefferson
1339,Rumble Landfill #2,MO,Jackson
1344,Show-Me Regional Landfill,MO,Johnson
1345,Southeast SLF,MO,Jackson
1346,Springfield Sanitary Landfill,MO,Greene
1348,St. Joseph City SLF,MO,Buchanan
1358,Wayne County Landfill,MO,Wayne
1364,Woods Chapel SLF,MO,Jackson
1366,Big River Landfill,MS,Washington
1367,Byram Landfill,MS,Hinds
1368,Central Landfill,MS,Pearl River
1369,City of Canton SLF,MS,Madison
1370,City of Durant LF,MS,Holmes
1371,City of Louisville Solid Waste Landfill,MS,Winston
1372,Clearview Environmental Control Facility,MS,Scott
1374,Golden Triangle Regional Landfill,MS,Oktibbeha
1375,Gulf Pines LF,MS,Harrison
1378,Jefferson County LF,MS,Jefferson
1379,Kemper County Solid Waste Landfill,MS,Kemper
1380,Leflore County Landfill,MS,Leflore
1381,Little Dixie Landfill,MS,Madison
1382,MacLand Landfill,MS,Jackson
1383,Northeast Mississippi Regional Landfill,MS,Tippah
1384,Pecan Grove Sanitary Landfill,MS,Harrison
1385,Pine Belt Regional Landfill,MS,Perry
1386,Pine Ridge Sanitary Landfill,MS,Lauderdale
1387,Plantation Oaks Sanitary Landfill,MS,Adams
1388,Pleasant Hills,MS,DeSoto
1389,Prairie Bluff Sanitary Landfill,MS,Chickasaw
1390,Three Rivers Regional Landfill,MS,Pontotoc
1391,Tunica Landfill,MS,Tunica
1393,Billings City Landfill,MT,Yellowstone
1395,City of Bozeman SLF,MT,Gallatin
1404,Flathead County Landfill,MT,Flathead
1405,Gallatin County Logan Landfill,MT,Gallatin
1406,High Plains SLF,MT,Cascade
1408,Lake County Landfill,MT,Lake
1409,Lewis & Clark County Landfill,MT,Lewis and Clark
1412,Missoula Landfill,MT,Missoula
1421,Valley View Landfill,MT,Lewis and Clark
1422,Alamance County Landfill,NC,Alamance
1423,Alexander County Landfill,NC,Alexander
1425,Anderson Creek LF Harnett County,NC,Harnett
1427,Anson County Waste Management Facility,NC,Anson
1428,Ashe County Landfill,NC,Ashe
1429,Avery County LF,NC,Avery
1432,Blackburn SLF,NC,Catawba
1434,Brunswick County LF,NC,Brunswick
1435,Buncombe County New Landfill,NC,Buncombe
1436,Buncombe County Old Landfill,NC,Buncombe
1437,Caldwell County Mt. Herman Landfill,NC,Caldwell
1438,Canton LF-Haywood County,NC,Haywood
1440,Caswell County LF,NC,Caswell
1441,Charlotte Motor Speedway Landfill V,NC,Cabarrus
1442,Chatham County LF,NC,Chatham
1443,Cherokee County Landfill,NC,Cherokee
1445,City of Albemarle LF,NC,Stanly
1446,City of Durham SLF,NC,Durham
1447,City of Greensboro White Street Landfill,NC,Guilford
1449,Cleveland County LF,NC,Cleveland
1450,Cliffside South Rutherford County LF,NC,Rutherford
1451,"Columbus County, ARS",NC,Columbus
1452,Craven County LF,NC,Craven
1453,Cumberland County Ann Street Landfill,NC,Cumberland
1456,Davidson County LF,NC,Davidson
1457,Davie County LF,NC,Davie
1459,East Carolina Regional LF,NC,Bertie
1461,Edgecombe County LF,NC,Edgecombe
1462,Feltonsville Sanitary Landfill,NC,Wake
1463,Foothills Environmental Landfill,NC,Caldwell
1464,Franklin County LF,NC,Franklin
1465,Gaston County LF,NC,Gaston
1467,Granville County LF 1,NC,Granville
1468,Great Oak Landfill,NC,Randolph
1469,Greene County Landfill,NC,Greene
1470,Hanes Mill Road Landfill,NC,Forsyth
1471,Harnett County LF,NC,Harnett
1472,Haywood County LF,NC,Haywood
1473,Haywood County White Oak LF,NC,Haywood
1474,Henderson County LF,NC,Henderson
1475,Hertford County LF,NC,Hertford
1476,Hoke County LF,NC,Hoke
1477,Iredell County LF,NC,Iredell
1480,Johnston County MSW LF,NC,Johnston
1481,Jones County LF,NC,Jones
1482,Kersey Valley Landfill,NC,Guilford
1483,Lee County LF,NC,Lee
1484,Lenoir County LF,NC,Lenoir
1485,Lincoln County Landfill,NC,Lincoln
1486,Macon County LF,NC,Macon
1487,Madison County LF 1,NC,Madison
1488,Madison County LF 2,NC,Madison
1489,McDowell County LF,NC,McDowell
1490,Mecklenburg County LF,NC,Mecklenburg
1492,Moore County LF,NC,Moore
1493,Nash County LF,NC,Nash
1494,New Hanover County Secure Landfill,NC,New Hanover
1495,Newton LF,NC,Catawba
1496,North Wake County Landfill,NC,Wake
1497,Northampton County LF,NC,Northampton
1498,Onslow County LF,NC,Onslow
1499,Orange County Regional Landfill,NC,Orange
1501,Pasquotank County LF,NC,Pasquotank
1504,Piedmont SLF,NC,Forsyth
1505,Pitt County LF,NC,Pitt
1506,Polk County LF,NC,Polk
1507,Randolph County SWF,NC,Randolph
1508,Richmond County LF,NC,Richmond
1509,Riverdale Landfill,NC,Guilford
1510,Robeson County LF,NC,Robeson
1511,Rockingham County LF,NC,Rockingham
1512,Rowan County LF,NC,Rowan
1513,"Rowland Landfill, Inc.",NC,Wake
1515,Rutherford County LF,NC,Rutherford
1516,"Sampson County Disposal, LLC",NC,Sampson
1517,Sampson County LF,NC,Sampson
1518,Scotland County LF,NC,Scotland
1520,South Wake LF (New),NC,Wake
1521,Stokes County LF,NC,Stokes
1522,Surry County LF 1 & LF 3,NC,Surry
1523,Surry County LF 2,NC,Surry
1524,Swain County LF,NC,Swain
1525,Swepsonville LF,NC,Alamance
1526,Thomasville LF-Davidson County,NC,Davidson
1527,Transylvania County SLF,NC,Transylvania
1528,Tuscarora Long-Term Regional Landfill,NC,Craven
1529,Union County LF,NC,Union
1530,Upper Piedmont Regional Landfill,NC,Person
1531,US Army Fort Bragg Landfill,NC,Cumberland
1532,US Marine Corps Base Camp Lejeune,NC,Onslow
1533,Uwharrie Environmental Regional LF,NC,Montgomery
1534,Vance County LF,NC,Vance
1536,Watauga County Landfill,NC,Watauga
1537,Wayne County LF,NC,Wayne
1539,Wilder's Grove Landfill,NC,Wake
1541,Wilkes County LF 2,NC,Wilkes
1542,Wilson County LF,NC,Wilson
1543,Yancey/Mitchell County LF,NC,Yancey
1546,City of Fargo Landfill,ND,Cass
1547,City of Minot LF,ND,Ward
1548,Dakota MSW Landfill,ND,Sargent
1550,Grand Forks Active Landfill,ND,Grand Forks
1551,Grand Forks Landfill,ND,Grand Forks
1554,McDaniel Landfill,ND,Ward
1559,Alliance Disposal Area LF,NE,Box Butte
1560,Beatrice Disposal Area LF,NE,Gage
1561,Bluff Road Landfill,NE,Lancaster
1562,Butler County Landfill Inc.,NE,Butler
1564,"Community Refuse Disposal, Incorporated - Norfolk",NE,Madison
1565,Douglas County Landfill,NE,Douglas
1566,Douglas County Recycling and Disposal Facility LF,NE,Douglas
1567,Fremont Landfill,NE,Dodge
1568,G&P Development Inc. Landfill,NE,Seward
1570,Grand Island Regional Landfill,NE,Hall
1571,Hastings SLF,NE,Adams
1572,Holdrege Prairie Hill Landfill,NE,Phelps
1573,J Bar J Landfill,NE,Perkins
1574,Kearney Area Solid Waste Agency Landfill,NE,Buffalo
1576,L.P. Gill LF,NE,Dakota
1577,Lexington Area Solid Waste Agency Landfill,NE,Dawson
1580,NNSWC LF,NE,Stanton
1581,North 48th Street Landfill,NE,Lancaster
1582,North Platte Disposal Area LF,NE,Lincoln
1583,Otoe County LF,NE,Otoe
1584,Plattsmouth LF,NE,Cass
1585,Sarpy County SLF,NE,Sarpy
1586,Scottsbluff Disposal LF,NE,Scotts Bluff
1590,York County LF,NE,York
1595,City of Keene Landfill,NH,Cheshire
1596,Colebrook Landfill,NH,Coos
1597,Concord Suncook Road Landfill Pre-1981,NH,Merrimack
1601,Dunbarton LF,NH,Hillsborough
1602,Durham Primary Landfill,NH,Strafford
1603,Effingham Municipal Sanitary Landfill,NH,Carroll
1604,Errol Municipal Landfill,NH,Coos
1606,Former Dover Municipal Landfill,NH,Strafford
1607,Four Hills Landfill,NH,Hillsborough
1610,Hampton Municipal Landfill,NH,Rockingham
1615,Kingston Landfill,NH,Rockingham
1616,Laconia Disposal Gardens,NH,Belknap
1617,Lebanon Regional Solid Waste Facility,NH,Grafton
1618,Loudon Municipal Landfill,NH,Merrimack
1620,Manchester Dunbarton Road Landfill,NH,Hillsborough
1621,Merrimack Landfill,NH,Hillsborough
1622,Milford Municipal Landfill,NH,Hillsborough
1623,Milton Municipal Landfill,NH,Strafford
1624,Mount Carberry Landfill,NH,Coos
1627,North Country Environmental Services LF,NH,Grafton
1629,Raymond Municipal Landfill,NH,Rockingham
1631,Sandwich Municipal Landfill,NH,Carroll
1632,Shelburne Municipal Landfill,NH,Coos
1633,Tamworth Landfill,NH,Carroll
1634,Thornton Municipal Landfill,NH,Grafton
1636,Tuftonboro Landfill,NH,Carroll
1637,Turnkey Recycling and Environmental Enterprise (TREE),NH,Strafford
1638,Wakefield Landfill,NH,Carroll
1639,Atlantic County Utilities Authority Landfill,NJ,Atlantic
1640,Burlington County SLF,NJ,Burlington
1641,Cape May County MUA Secure Landfill,NJ,Cape May
1642,Cumberland County SWC,NJ,Cumberland
1644,Edgeboro LF,NJ,Middlesex
1645,Edison Township SLF,NJ,Middlesex
1647,Gloucester County Solid Waste Complex,NJ,Gloucester
1653,Kingsland Landfill,NJ,Bergen
1654,Kinsley's LF,NJ,Gloucester
1655,L & D LF,NJ,Burlington
1656,Linden City SLF,NJ,Union
1657,Middlesex County LF,NJ,Middlesex
1658,Monmouth County Reclamation Center,NJ,Monmouth
1659,NJMC 1-E Landfill,NJ,Bergen
1660,Ocean County LF,NJ,Ocean
1661,Parklands Reclamation Project,NJ,Burlington
1662,Pennsauken SLF,NJ,Camden
1663,Pinelands Park LF,NJ,Atlantic
1664,Salem County SLF,NJ,Salem
1665,Sussex County LF 1-E,NJ,Sussex
1666,Warren County District Landfill,NJ,Warren
1667,Caja del Rio Landfill,NM,Santa Fe
1668,Camino Real Landfill,NM,Dona Ana
1669,Cerro Colorado LF,NM,Bernalillo
1670,Clovis Regional Solid Waste Facility,NM,Curry
1671,Corralitos Regional Landfill,NM,Dona Ana
1673,Lea County Landfill,NM,Lea
1674,Los Alamos County LF,NM,Los Alamos
1675,Los Angeles Landfill,NM,Bernalillo
1676,Northeastern New Mexico Regional Landfill,NM,Mora
1677,Otero/Greentree Regional Landfill,NM,Otero
1678,Rio Rancho Landfill,NM,Sandoval
1679,San Juan County Regional Landfill,NM,San Juan
1680,Sand Point Landfill,NM,Eddy
1681,Sandoval County Landfill,NM,Sandoval
1683,Apex Regional LF,NV,Clark
1684,Battle Mountain Sanitary Landfill,NV,Lander
1685,Boulder City LF,NV,Clark
1686,Carson City Sanitary Landfill,NV,Carson City
1687,City of Elko Municipal Landfill,NV,Elko
1688,Crestline Sanitary Landfill,NV,Lincoln
1690,Ely Sanitary Landfill,NV,White Pine
1691,Eureka Sanitary Landfill,NV,Eureka
1692,Goldfield Sanitary Landfill,NV,Esmeralda
1693,Hawthorne Sanitary Landfill,NV,Mineral
1694,Laughlin Landfill,NV,Clark
1695,Lockwood Regional LF,NV,Storey
1696,Mesquite Sanitary Landfill,NV,Lincoln
1700,Pahrump Valley Sanitary Landfill,NV,Nye
1701,Pershing County Sanitary Landfill,NV,Pershing
1702,Round Mountain Sanitary Landfill,NV,Nye
1703,Russell Pass Sanitary Landfill,NV,Churchill
1704,Sunrise Landfill,NV,Clark
1705,Tonopah Sanitary Landfill,NV,Nye
1706,Tonopah Test Range Sanitary Landfill,NV,Nye
1709,Al Turi LF,NY,Orange
1710,Albany Landfill,NY,Albany
1711,Allegany County LF,NY,Allegany
1712,Auburn SLF #1 & #2,NY,Cayuga
1714,Ava Landfill,NY,Oneida
1715,Blydenburgh Road Landfill,NY,Suffolk
1716,Bristol Hill SLF,NY,Oswego
1717,Brookfield Avenue Landfill,NY,Richmond
1718,Brookhaven LF,NY,Suffolk
1719,Broome County Landfill,NY,Broome
1721,Chaffee LF,NY,Erie
1722,Chautauqua County Landfill,NY,Chautauqua
1723,Chemung County Landfill,NY,Chemung
1725,Chenango County Landfill,NY,Chenango
1727,City of Gloversville Landfill,NY,Fulton
1728,Clifton Park LF,NY,Saratoga
1729,Clinton County Regional Landfill,NY,Clinton
1730,Cortland County SLF,NY,Cortland
1731,Croton Point Landfill,NY,Westchester
1733,DANC Solid Waste Management Facility,NY,Jefferson
1734,Delaware County LF,NY,Delaware
1738,East Northport SLF,NY,Suffolk
1740,Edgemere SLF,NY,Queens
1743,Former Town of Babylon Landfill,NY,Suffolk
1745,Fountain Avenue LF,NY,Kings
1746,Franklin County Regional Landfill,NY,Franklin
1747,Fresh Kills SLF,NY,Richmond
1748,Fulton County LF,NY,Fulton
1749,Green Ridge Landfill,NY,Saratoga
1750,Haverstraw SLF,NY,Rockland
1751,High Acres LF and Recycling Center,NY,Monroe
1753,Hyland LF,NY,Allegany
1756,Madison County Landfill,NY,Madison
1758,Mill Seat LF,NY,Monroe
1759,Modern Landfill Inc,NY,Niagara
